Adhoc_Param_Syn_Lower,Ad-hoc_Param,Entity
cardiac arrest,Acute Myocardial Infarction / Circulatory System,ProblemsDim
coronary thrombosis,Acute Myocardial Infarction / Circulatory System,ProblemsDim
circulatory failure,Acute Myocardial Infarction / Circulatory System,ProblemsDim
cardiovascular collapse,Acute Myocardial Infarction / Circulatory System,ProblemsDim
acute myocardial infarction / circulatory system,Acute Myocardial Infarction / Circulatory System,ProblemsDim
ami,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
ivd,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
cad,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
heart attack,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
myocardial infarction,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
ischemic heart disease,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
coronary heart disease,Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
acute myocardial infarction / ischemic vascular disease (ivd) / coronary artery disease (cad ),Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
advanced chf,Advance Stage Of Congestive Heart Failure,ProblemsDim
end-stage chf,Advance Stage Of Congestive Heart Failure,ProblemsDim
refractory chf,Advance Stage Of Congestive Heart Failure,ProblemsDim
advanced heart failure,Advance Stage Of Congestive Heart Failure,ProblemsDim
end-stage heart failure,Advance Stage Of Congestive Heart Failure,ProblemsDim
refractory heart failure,Advance Stage Of Congestive Heart Failure,ProblemsDim
advance stage of congestive heart failure,Advance Stage Of Congestive Heart Failure,ProblemsDim
aaa,Aneurysm,ProblemsDim
berry aneurysm,Aneurysm,ProblemsDim
saccular aneurysm,Aneurysm,ProblemsDim
cerebral aneurysm,Aneurysm,ProblemsDim
intracranial aneurysm,Aneurysm,ProblemsDim
abdominal aortic aneurysm,Aneurysm,ProblemsDim
thoracic aortic aneurysm,Aneurysm,ProblemsDim
aortic aneurysm,Aneurysm,ProblemsDim
brain aneurysm,Aneurysm,ProblemsDim
aneurysm,Aneurysm,ProblemsDim
chest pain,Angina,ProblemsDim
coronary artery disease,Angina,ProblemsDim
myocardial ischemia,Angina,ProblemsDim
stable angina,Angina,ProblemsDim
unstable angina,Angina,ProblemsDim
prinzmetal's angina,Angina,ProblemsDim
variant angina,Angina,ProblemsDim
angina pectoris,Angina,ProblemsDim
angina,Angina,ProblemsDim
ap,Angina Pectoris,ProblemsDim
chest pain,Angina Pectoris,ProblemsDim
myocardial ischemia,Angina Pectoris,ProblemsDim
coronary artery disease,Angina Pectoris,ProblemsDim
heart attack symptom,Angina Pectoris,ProblemsDim
angina pectoris,Angina Pectoris,ProblemsDim
coronary angiopathy,Angiopathy,ProblemsDim
peripheral angiopathy,Angiopathy,ProblemsDim
cerebral angiopathy,Angiopathy,ProblemsDim
renal angiopathy,Angiopathy,ProblemsDim
digitalis induced angiopathy,Angiopathy,ProblemsDim
hypertensive angiopathy,Angiopathy,ProblemsDim
atherosclerotic angiopathy,Angiopathy,ProblemsDim
arterial angiopathy,Angiopathy,ProblemsDim
vasculitis angiopathy,Angiopathy,ProblemsDim
microangiopathy,Angiopathy,ProblemsDim
angiopathy,Angiopathy,ProblemsDim
aa-cvd,Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
antibiotic allergy in cv disease,Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
antibiotic hypersensitivity in cvd,Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
aab-cvd,Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
antibiotic allergic reaction in cardiovascular disease,Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
antibiotic allergy in cardiovascular disease,Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
ai,Aortic Insufficiency,ProblemsDim
aortic regurgitation,Aortic Insufficiency,ProblemsDim
aortic incompetence,Aortic Insufficiency,ProblemsDim
aortic backflow,Aortic Insufficiency,ProblemsDim
aortic leakage,Aortic Insufficiency,ProblemsDim
aortic regurgitant,Aortic Insufficiency,ProblemsDim
ar,Aortic Insufficiency,ProblemsDim
aortic valve insufficiency,Aortic Insufficiency,ProblemsDim
aortic insufficiency,Aortic Insufficiency,ProblemsDim
as,Aortic Stenosis,ProblemsDim
aortic valve stenosis,Aortic Stenosis,ProblemsDim
aortic valve narrowing,Aortic Stenosis,ProblemsDim
heart valve stenosis,Aortic Stenosis,ProblemsDim
aortic valve obstruction,Aortic Stenosis,ProblemsDim
aortic valve disease,Aortic Stenosis,ProblemsDim
aortic stenosis,Aortic Stenosis,ProblemsDim
atrial fibrillation (af),Arrhythmia,ProblemsDim
ventricular tachycardia (vt),Arrhythmia,ProblemsDim
ventricular fibrillation (vf),Arrhythmia,ProblemsDim
supraventricular tachycardia (svt),Arrhythmia,ProblemsDim
atrial flutter,Arrhythmia,ProblemsDim
bradycardia,Arrhythmia,ProblemsDim
tachycardia,Arrhythmia,ProblemsDim
premature atrial contraction (pac),Arrhythmia,ProblemsDim
premature ventricular contraction (pvc),Arrhythmia,ProblemsDim
arrhythmia,Arrhythmia,ProblemsDim
atrial fibrillation (af),Arrythmia,ProblemsDim
ventricular tachycardia (vt),Arrythmia,ProblemsDim
ventricular fibrillation (vf),Arrythmia,ProblemsDim
supraventricular tachycardia (svt),Arrythmia,ProblemsDim
atrioventricular block (avb),Arrythmia,ProblemsDim
heart rhythm disorder,Arrythmia,ProblemsDim
arrhythmogenic right ventricular dysplasia (arvd),Arrythmia,ProblemsDim
arrythmia,Arrythmia,ProblemsDim
as,Atherosclerosis,ProblemsDim
arteriosclerotic heart disease,Atherosclerosis,ProblemsDim
coronary artery disease,Atherosclerosis,ProblemsDim
cad,Atherosclerosis,ProblemsDim
hardening of the arteries,Atherosclerosis,ProblemsDim
arterial sclerosis,Atherosclerosis,ProblemsDim
arteriosclerosis vascular disease,Atherosclerosis,ProblemsDim
atherosclerosis,Atherosclerosis,ProblemsDim
as,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
ivd,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
atheroma,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
ischemic heart disease,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
peripheral artery disease,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
coronary artery disease,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
cerebrovascular disease,Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
atherosclerosis / ischemic vascular disease (ivd),Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim
peripheral artery disease (pad),Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
lower limb ischemia,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
gangrenous limb,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
ulcerated limb,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
extremity wound,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
leg ulcer,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
foot ulcer,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
gangrene of foot,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
gangrene of leg,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
atherosclerosis of extremity with ulceration or gangrene,Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim
ad,Atherosclerotic Disease,ProblemsDim
atherosclerosis,Atherosclerotic Disease,ProblemsDim
arteriosclerotic heart disease,Atherosclerotic Disease,ProblemsDim
coronary artery disease,Atherosclerotic Disease,ProblemsDim
peripheral artery disease,Atherosclerotic Disease,ProblemsDim
carotid artery disease,Atherosclerotic Disease,ProblemsDim
atherosclerotic disease,Atherosclerotic Disease,ProblemsDim
aasta,Atresia And Stenosis Of The Aorta,ProblemsDim
aortic atresia,Atresia And Stenosis Of The Aorta,ProblemsDim
aortic stenosis,Atresia And Stenosis Of The Aorta,ProblemsDim
congenital aortic atresia,Atresia And Stenosis Of The Aorta,ProblemsDim
congenital aortic stenosis,Atresia And Stenosis Of The Aorta,ProblemsDim
atresia and stenosis of the aorta,Atresia And Stenosis Of The Aorta,ProblemsDim
afib,Atrial Fibrillation,ProblemsDim
atrial fibrillation (af),Atrial Fibrillation,ProblemsDim
af,Atrial Fibrillation,ProblemsDim
paroxysmal atrial fibrillation (paf),Atrial Fibrillation,ProblemsDim
persistent atrial fibrillation (paf),Atrial Fibrillation,ProblemsDim
long-standing persistent atrial fibrillation (lpaf),Atrial Fibrillation,ProblemsDim
chronic atrial fibrillation (caf),Atrial Fibrillation,ProblemsDim
atrial flutter,Atrial Fibrillation,ProblemsDim
a-fib,Atrial Fibrillation,ProblemsDim
afib with rvr,Atrial Fibrillation,ProblemsDim
afib with ra,Atrial Fibrillation,ProblemsDim
afib with rae,Atrial Fibrillation,ProblemsDim
afib with rae/flutter,Atrial Fibrillation,ProblemsDim
afib with rvr/flutter,Atrial Fibrillation,ProblemsDim
atrial fibrillation,Atrial Fibrillation,ProblemsDim
af,Atrial Fibrillation (Afib),ProblemsDim
atrial fibrillation,Atrial Fibrillation (Afib),ProblemsDim
atrial flutter,Atrial Fibrillation (Afib),ProblemsDim
paroxysmal afib,Atrial Fibrillation (Afib),ProblemsDim
persistent afib,Atrial Fibrillation (Afib),ProblemsDim
permanent afib,Atrial Fibrillation (Afib),ProblemsDim
chronic afib,Atrial Fibrillation (Afib),ProblemsDim
sick sinus syndrome,Atrial Fibrillation (Afib),ProblemsDim
supraventricular tachycardia,Atrial Fibrillation (Afib),ProblemsDim
atrial flutter ablation,Atrial Fibrillation (Afib),ProblemsDim
cardioversion,Atrial Fibrillation (Afib),ProblemsDim
anticoagulation therapy,Atrial Fibrillation (Afib),ProblemsDim
warfarin,Atrial Fibrillation (Afib),ProblemsDim
xarelto,Atrial Fibrillation (Afib),ProblemsDim
eliquis,Atrial Fibrillation (Afib),ProblemsDim
apixaban,Atrial Fibrillation (Afib),ProblemsDim
rivaroxaban,Atrial Fibrillation (Afib),ProblemsDim
atrial fibrillation (afib),Atrial Fibrillation (Afib),ProblemsDim
afib exclusion criteria,Atrial Fibrillation Exclusions,ProblemsDim
atrial fibrillation exclusion criterion,Atrial Fibrillation Exclusions,ProblemsDim
afib exclusion guidelines,Atrial Fibrillation Exclusions,ProblemsDim
atrial fibrillation exclusion standards,Atrial Fibrillation Exclusions,ProblemsDim
afib exclusion rules,Atrial Fibrillation Exclusions,ProblemsDim
atrial fibrillation exclusions,Atrial Fibrillation Exclusions,ProblemsDim
afib,Atrial Fibrillation/Atrial Flutter,ProblemsDim
aflutter,Atrial Fibrillation/Atrial Flutter,ProblemsDim
atrial arrhythmia,Atrial Fibrillation/Atrial Flutter,ProblemsDim
irregular heart rhythm,Atrial Fibrillation/Atrial Flutter,ProblemsDim
paroxysmal af,Atrial Fibrillation/Atrial Flutter,ProblemsDim
persistent af,Atrial Fibrillation/Atrial Flutter,ProblemsDim
permanent af,Atrial Fibrillation/Atrial Flutter,ProblemsDim
sick sinus syndrome,Atrial Fibrillation/Atrial Flutter,ProblemsDim
supraventricular tachycardia,Atrial Fibrillation/Atrial Flutter,ProblemsDim
atrial fibrillation/atrial flutter,Atrial Fibrillation/Atrial Flutter,ProblemsDim
av block,Atrioventricular (Av) Block,ProblemsDim
atrioventricular conduction disorder,Atrioventricular (Av) Block,ProblemsDim
heart block,Atrioventricular (Av) Block,ProblemsDim
av node block,Atrioventricular (Av) Block,ProblemsDim
atrioventricular dissociation,Atrioventricular (Av) Block,ProblemsDim
second degree av block,Atrioventricular (Av) Block,ProblemsDim
third degree av block,Atrioventricular (Av) Block,ProblemsDim
mobitz type i av block,Atrioventricular (Av) Block,ProblemsDim
mobitz type ii av block,Atrioventricular (Av) Block,ProblemsDim
wenckebach's av block,Atrioventricular (Av) Block,ProblemsDim
high degree av block,Atrioventricular (Av) Block,ProblemsDim
complete heart block,Atrioventricular (Av) Block,ProblemsDim
av conduction delay,Atrioventricular (Av) Block,ProblemsDim
atrioventricular (av) block,Atrioventricular (Av) Block,ProblemsDim
av block,Atrioventricular Block,ProblemsDim
heart conduction disorder,Atrioventricular Block,ProblemsDim
heart rhythm disorder,Atrioventricular Block,ProblemsDim
av node dysfunction,Atrioventricular Block,ProblemsDim
heart block,Atrioventricular Block,ProblemsDim
atrioventricular heart block,Atrioventricular Block,ProblemsDim
atrioventricular block,Atrioventricular Block,ProblemsDim
heart rate below normal,Bradycardia,ProblemsDim
slow heart rhythm,Bradycardia,ProblemsDim
sinus bradycardia,Bradycardia,ProblemsDim
atrioventricular block,Bradycardia,ProblemsDim
junctional bradycardia,Bradycardia,ProblemsDim
vagotonic bradycardia,Bradycardia,ProblemsDim
second degree av block,Bradycardia,ProblemsDim
third degree av block,Bradycardia,ProblemsDim
complete heart block,Bradycardia,ProblemsDim
mobitz type i second degree av block,Bradycardia,ProblemsDim
mobitz type ii second degree av block,Bradycardia,ProblemsDim
sick sinus syndrome,Bradycardia,ProblemsDim
tachy-brady syndrome,Bradycardia,ProblemsDim
bradycardia,Bradycardia,ProblemsDim
contusion,Bruising,ProblemsDim
hematoma,Bruising,ProblemsDim
ecchymosis,Bruising,ProblemsDim
purpura,Bruising,ProblemsDim
eechymosis,Bruising,ProblemsDim
bleeding under skin,Bruising,ProblemsDim
subcutaneous hemorrhage,Bruising,ProblemsDim
skin bruise,Bruising,ProblemsDim
bruising,Bruising,ProblemsDim
cls,Capillary Leak Syndrome,ProblemsDim
capillary leak syndromes,Capillary Leak Syndrome,ProblemsDim
microangiopathic capillary leak syndrome,Capillary Leak Syndrome,ProblemsDim
capillary dysfunction syndrome,Capillary Leak Syndrome,ProblemsDim
capillary permeability syndrome,Capillary Leak Syndrome,ProblemsDim
capillary leak syndrome,Capillary Leak Syndrome,ProblemsDim
ca,Cardiac Arrest,ProblemsDim
cardiopulmonary arrest,Cardiac Arrest,ProblemsDim
sudden cardiac death,Cardiac Arrest,ProblemsDim
heart attack,Cardiac Arrest,ProblemsDim
cardiac collapse,Cardiac Arrest,ProblemsDim
cardiac standstill,Cardiac Arrest,ProblemsDim
ventricular fibrillation,Cardiac Arrest,ProblemsDim
asystole,Cardiac Arrest,ProblemsDim
cardiac arrest,Cardiac Arrest,ProblemsDim
heart rhythm disorder,Cardiac Arrhythmia,ProblemsDim
arrhythmia,Cardiac Arrhythmia,ProblemsDim
atrial fibrillation,Cardiac Arrhythmia,ProblemsDim
ventricular tachycardia,Cardiac Arrhythmia,ProblemsDim
supraventricular tachycardia,Cardiac Arrhythmia,ProblemsDim
bradycardia,Cardiac Arrhythmia,ProblemsDim
tachycardia,Cardiac Arrhythmia,ProblemsDim
palpitations,Cardiac Arrhythmia,ProblemsDim
heartbeat irregularity,Cardiac Arrhythmia,ProblemsDim
cardiac dysrhythmia,Cardiac Arrhythmia,ProblemsDim
cardiac arrhythmia,Cardiac Arrhythmia,ProblemsDim
ccd,Cardiac Conduction Disorders,ProblemsDim
heart rhythm disorder,Cardiac Conduction Disorders,ProblemsDim
arrhythmia,Cardiac Conduction Disorders,ProblemsDim
atrioventricular block,Cardiac Conduction Disorders,ProblemsDim
bradycardia,Cardiac Conduction Disorders,ProblemsDim
tachycardia,Cardiac Conduction Disorders,ProblemsDim
sick sinus syndrome,Cardiac Conduction Disorders,ProblemsDim
heart block,Cardiac Conduction Disorders,ProblemsDim
av nodal reentrant tachycardia,Cardiac Conduction Disorders,ProblemsDim
wolff-parkinson-white syndrome,Cardiac Conduction Disorders,ProblemsDim
long qt syndrome,Cardiac Conduction Disorders,ProblemsDim
short qt syndrome,Cardiac Conduction Disorders,ProblemsDim
cardiac conduction disorders,Cardiac Conduction Disorders,ProblemsDim
automated external defibrillator (aed),Cardiac Defibrillator,ProblemsDim
implantable cardioverter-defibrillator (icd),Cardiac Defibrillator,ProblemsDim
external defibrillator,Cardiac Defibrillator,ProblemsDim
cardioverter defibrillator,Cardiac Defibrillator,ProblemsDim
lifevest,Cardiac Defibrillator,ProblemsDim
cardiac defibrillator,Cardiac Defibrillator,ProblemsDim
heart disease,Cardiac Disease,ProblemsDim
cardiovascular disease,Cardiac Disease,ProblemsDim
coronary artery disease,Cardiac Disease,ProblemsDim
cad,Cardiac Disease,ProblemsDim
myocardial infarction,Cardiac Disease,ProblemsDim
mi,Cardiac Disease,ProblemsDim
heart failure,Cardiac Disease,ProblemsDim
hf,Cardiac Disease,ProblemsDim
arrhythmia,Cardiac Disease,ProblemsDim
atrial fibrillation,Cardiac Disease,ProblemsDim
af,Cardiac Disease,ProblemsDim
ventricular fibrillation,Cardiac Disease,ProblemsDim
vf,Cardiac Disease,ProblemsDim
angina pectoris,Cardiac Disease,ProblemsDim
ap,Cardiac Disease,ProblemsDim
cardiac disease,Cardiac Disease,ProblemsDim
cp,Cardiac Pacemaker,ProblemsDim
cardio-pacemaker,Cardiac Pacemaker,ProblemsDim
heart pacemaker,Cardiac Pacemaker,ProblemsDim
implantable cardioverter defibrillator (icd),Cardiac Pacemaker,ProblemsDim
permanent pacemaker,Cardiac Pacemaker,ProblemsDim
temporary pacemaker,Cardiac Pacemaker,ProblemsDim
dual chamber pacemaker,Cardiac Pacemaker,ProblemsDim
single chamber pacemaker,Cardiac Pacemaker,ProblemsDim
biventricular pacemaker,Cardiac Pacemaker,ProblemsDim
atrial pacemaker,Cardiac Pacemaker,ProblemsDim
ventricular pacemaker,Cardiac Pacemaker,ProblemsDim
cardiac pacemaker,Cardiac Pacemaker,ProblemsDim
cpis,Cardiac Pacemaker In Situ,ProblemsDim
in-situ cardiac pacemaker,Cardiac Pacemaker In Situ,ProblemsDim
implanted cardiac pacemaker,Cardiac Pacemaker In Situ,ProblemsDim
icp,Cardiac Pacemaker In Situ,ProblemsDim
cardiac pacemaker in situ,Cardiac Pacemaker In Situ,ProblemsDim
cp,Cardiac Pacer,ProblemsDim
cardiac pacemaker,Cardiac Pacer,ProblemsDim
icd-pacemaker,Cardiac Pacer,ProblemsDim
implantable cardioverter defibrillator - pacemaker,Cardiac Pacer,ProblemsDim
cardiac stimulator,Cardiac Pacer,ProblemsDim
artificial pacemaker,Cardiac Pacer,ProblemsDim
cardiac pacer,Cardiac Pacer,ProblemsDim
cardiogenic shock,Cardiac Shock,ProblemsDim
distributive shock (cardiogenic),Cardiac Shock,ProblemsDim
hypovolemic shock (cardiogenic),Cardiac Shock,ProblemsDim
cardiac arrest,Cardiac Shock,ProblemsDim
ventricular fibrillation,Cardiac Shock,ProblemsDim
ventricular tachycardia,Cardiac Shock,ProblemsDim
pulseless electrical activity,Cardiac Shock,ProblemsDim
asystole,Cardiac Shock,ProblemsDim
cardiac shock,Cardiac Shock,ProblemsDim
enlarged heart,Cardiomegaly,ProblemsDim
heart hypertrophy,Cardiomegaly,ProblemsDim
heart enlargement,Cardiomegaly,ProblemsDim
dilated cardiac silhouette,Cardiomegaly,ProblemsDim
megalocardia,Cardiomegaly,ProblemsDim
cardiomegaly,Cardiomegaly,ProblemsDim
heart enlargement,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
lvh,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
enlarged heart,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
heart thickening,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
cardiac hypertrophy,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
heart muscle thickening,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
cardiomegaly/left ventricular hypertrophy,Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim
dilated cardiomyopathy (dcm),Cardiomyopathy,ProblemsDim
hypertrophic cardiomyopathy (hcm),Cardiomyopathy,ProblemsDim
restrictive cardiomyopathy (rcm),Cardiomyopathy,ProblemsDim
ischemic cardiomyopathy (icm),Cardiomyopathy,ProblemsDim
idiopathic cardiomyopathy (ic),Cardiomyopathy,ProblemsDim
takotsubo cardiomyopathy,Cardiomyopathy,ProblemsDim
arrhythmogenic right ventricular cardiomyopathy (arvc),Cardiomyopathy,ProblemsDim
left ventricular non-compaction cardiomyopathy (lvnc),Cardiomyopathy,ProblemsDim
cardiomyopathy,Cardiomyopathy,ProblemsDim
cardiac arrest,Cardiorespiratory Arrest,ProblemsDim
respiratory arrest,Cardiorespiratory Arrest,ProblemsDim
cardiopulmonary arrest,Cardiorespiratory Arrest,ProblemsDim
ca,Cardiorespiratory Arrest,ProblemsDim
cpr,Cardiorespiratory Arrest,ProblemsDim
cardio-pulmonary resuscitation,Cardiorespiratory Arrest,ProblemsDim
cardiac resuscitation,Cardiorespiratory Arrest,ProblemsDim
respiratory resuscitation,Cardiorespiratory Arrest,ProblemsDim
cardiorespiratory arrest,Cardiorespiratory Arrest,ProblemsDim
cvd,Cardiovascular Disease,ProblemsDim
heart disease,Cardiovascular Disease,ProblemsDim
coronary artery disease,Cardiovascular Disease,ProblemsDim
heart failure,Cardiovascular Disease,ProblemsDim
hypertension,Cardiovascular Disease,ProblemsDim
myocardial infarction,Cardiovascular Disease,ProblemsDim
stroke,Cardiovascular Disease,ProblemsDim
atherosclerosis,Cardiovascular Disease,ProblemsDim
angina pectoris,Cardiovascular Disease,ProblemsDim
arrhythmia,Cardiovascular Disease,ProblemsDim
valvular heart disease,Cardiovascular Disease,ProblemsDim
cardiovascular disease,Cardiovascular Disease,ProblemsDim
cvd,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
pvd,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
coronary artery disease,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
heart disease,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
stroke,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
angina pectoris,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
myocardial infarction,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
atherosclerosis,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
hypertension,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
peripheral arterial disease,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
vascular disease,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
cerebrovascular disease,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
cardiovascular disease)/peripheral vascular disease,Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim
cvd,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
coronary heart disease,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
chd,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
heart disease,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
ischemic heart disease,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
atherosclerosis,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
angina pectoris,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
myocardial infarction,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
heart attack,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
cardiac arrest,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
stroke,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
cerebrovascular accident,"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
"cardiovascular disease, coronary artery disease","Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
cvd,"Cardiovascular Disease, Hypertension",ProblemsDim
heart disease,"Cardiovascular Disease, Hypertension",ProblemsDim
hypertension,"Cardiovascular Disease, Hypertension",ProblemsDim
high blood pressure,"Cardiovascular Disease, Hypertension",ProblemsDim
cardiac disease,"Cardiovascular Disease, Hypertension",ProblemsDim
arterial hypertension,"Cardiovascular Disease, Hypertension",ProblemsDim
coronary artery disease,"Cardiovascular Disease, Hypertension",ProblemsDim
heart failure,"Cardiovascular Disease, Hypertension",ProblemsDim
myocardial infarction,"Cardiovascular Disease, Hypertension",ProblemsDim
stroke,"Cardiovascular Disease, Hypertension",ProblemsDim
"cardiovascular disease, hypertension","Cardiovascular Disease, Hypertension",ProblemsDim
cvd,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
chd,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
heart disease,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
coronary artery disease,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
ischemic heart disease,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
myocardial infarction,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
angina pectoris,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
heart attack,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
cardiac arrest,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
stroke,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
cerebrovascular accident,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
cardiovascular disease/coronary heart disease,Cardiovascular Disease/Coronary Heart Disease,ProblemsDim
cvd,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
heart disease,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
hypertension,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
high blood pressure,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
cardiac disease,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
arterial hypertension,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
htn,Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
cardiovascular disease/hypertension (high blood pressure),Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim
ch,Cerebral Hemorrhage,ProblemsDim
intracranial hemorrhage,Cerebral Hemorrhage,ProblemsDim
ich,Cerebral Hemorrhage,ProblemsDim
brain hemorrhage,Cerebral Hemorrhage,ProblemsDim
subarachnoid hemorrhage,Cerebral Hemorrhage,ProblemsDim
sah,Cerebral Hemorrhage,ProblemsDim
epidural hemorrhage,Cerebral Hemorrhage,ProblemsDim
subdural hemorrhage,Cerebral Hemorrhage,ProblemsDim
intraventricular hemorrhage,Cerebral Hemorrhage,ProblemsDim
cerebral infarction,Cerebral Hemorrhage,ProblemsDim
stroke,Cerebral Hemorrhage,ProblemsDim
cerebral hemorrhage,Cerebral Hemorrhage,ProblemsDim
vertebrobasilar ischemia,Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
vertebral stroke,Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
vertebral artery occlusion,Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
vertebral artery stenosis,Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
cva (cerebrovascular accident),Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
tia (transient ischemic attack),Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
cerebral infarction and occlusion/stenosis of the vertebral artery,Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim
ci,Cerebral Ischemia,ProblemsDim
cerebral infraction,Cerebral Ischemia,ProblemsDim
