sub_disease_name,section_name,parent_disease_name,level
Polymyxin B Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Tamoxifen Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Transfusion Reaction,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Vaccine Allergy,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
"Vaccine Allergy To Measles, Mumps And Rubella",ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Vaccine Causing Adverse Effect,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Vaccine Contraindications,ProblemsDim,"Allergy , Intolerance & Adverse Reactions",1
Burns,ProblemsDim,,0
Severe Burn,ProblemsDim,Burns,1
Burns And Frostbite,ProblemsDim,Burns,1
Cancer,ProblemsDim,,0
Severe Burn,ProblemsDim,Cancer,1
Bladder Cancer,ProblemsDim,Cancer,1
Breast And Prostate Cancer,ProblemsDim,Cancer,1
Breast Cancer,ProblemsDim,Cancer,1
Cancers except NonMelanoma,ProblemsDim,Cancer,1
Cervical Cancer,ProblemsDim,Cancer,1
Colorectal Cancer,ProblemsDim,Cancer,1
Head And Neck Cancer,ProblemsDim,Cancer,1
Hepatocellular Carcinoma,ProblemsDim,Cancer,1
Kidney Cancer,ProblemsDim,Cancer,1
Leukemia,ProblemsDim,Cancer,1
Liver Cancer,ProblemsDim,Cancer,1
Lung And Brain Cancer,ProblemsDim,Cancer,1
Lung Cancer,ProblemsDim,Cancer,1
"Lung, And Brain Cancer",ProblemsDim,Cancer,1
Lymphatic Tissue Cancer,ProblemsDim,Cancer,1
Lymphoid Malignancy/ Lymphoma,ProblemsDim,Cancer,1
Lymphomas,ProblemsDim,Cancer,1
Lymphoreticular Cancer,ProblemsDim,Cancer,1
Melanoma,ProblemsDim,Cancer,1
Metastatic Cancer,ProblemsDim,Cancer,1
Myelodysplastic Syndromes,ProblemsDim,Cancer,1
Neoplasm related pain,ProblemsDim,Cancer,1
Non Hodgkin Lymphoma,ProblemsDim,Cancer,1
Ovarian Cancer,ProblemsDim,Cancer,1
Peritoneal Cancer,ProblemsDim,Cancer,1
Prostate Cancer,ProblemsDim,Cancer,1
Secondary Malignancy,ProblemsDim,Cancer,1
Secondary Malignancy/ Metastatic Cancer,ProblemsDim,Cancer,1
Skin Cancer,ProblemsDim,Cancer,1
Thyroid Cancer,ProblemsDim,Cancer,1
"Thyroid, Melanoma  And Neurofibromatosis",ProblemsDim,Cancer,1
Hematological Disorders/Blood Disorder,ProblemsDim,,0
Anemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Anemia,ProblemsDim,Anemia,2
Anemia Of Chronic Disease (Acd),ProblemsDim,Anemia,2
Anemias And Bleeding Disorders,ProblemsDim,Anemia,2
Anemic Disorder,ProblemsDim,Anemia,2
Aplastic Anemia,ProblemsDim,Anemia,2
Atypical Hyperplasia,ProblemsDim,Anemia,2
Hemorrhagic and Thrombotic Disorders,ProblemsDim,Hematological Disorders/Blood Disorder,1
Autoimmune Disease,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Autoimmune Thrombocytopenia,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Beta Thalassemia,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Bleeding And Coagulation Abnormalities,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Bleeding And Coagulation Disorders Exclusions,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Bleeding Complications,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Bleeding Disorders,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Bone Marrow Failure,ProblemsDim,Anemia,2
Central Venous Catheter Bloodstream Infection,ProblemsDim,Anemia,2
Hemolytic Anemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Chronic Hemolytic Anemia,ProblemsDim,Hemolytic Anemia,2
Coagulation Disorder/ Bleeding Disorders,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Congenital Thrombocytopenia,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Pancytopenia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Deep Vein Thrombosis,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Disseminated Intravascular Coagulation (Dic),ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Blood Disorders,ProblemsDim,Hematological Disorders/Blood Disorder,1
Hematologic Disorders,ProblemsDim,Blood Disorders,2
Blood Cancer,ProblemsDim,Hematological Disorders/Blood Disorder,1
Hematologic Malignancies,ProblemsDim,Blood Cancer,2
Hematological Diseases,ProblemsDim,Blood Disorders,2
Hematological Disorders,ProblemsDim,Blood Disorders,2
Sickle-cell anaemia,ProblemsDim,Hemolytic Anemia,2
Acquired Hemolytic Anemia,ProblemsDim,Hemolytic Anemia,2
Autoimmune hemolytic anemia,ProblemsDim,Hemolytic Anemia,2
Hemophilia,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Bleeding Disorder,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Autoimmune Thrombocytopenia/ITP,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Hemolytic Uremic Syndrome,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Polycythemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Nutritional Anemia,ProblemsDim,Anemia,2
Sickle Cell Anemia,ProblemsDim,Anemia,2
Vitamin B12 Deficiency Anemia,ProblemsDim,Anemia,2
Thalassemia,ProblemsDim,Hemolytic Anemia,2
Disorders of Spleen,ProblemsDim,Hematological Disorders/Blood Disorder,1
Splenectomy,ProblemsDim,Disorders of Spleen,2
Splenic Sequestration Crisis,ProblemsDim,Disorders of Spleen,2
Splenomegaly,ProblemsDim,Disorders of Spleen,2
Thrombocythemia,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombocytopenia,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombocytosis,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thromboembolism,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombolic Event,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombophlebitis,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombosis,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombosis Embolism,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Thrombotic Complications,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Venous Thrombosis,ProblemsDim,Hemorrhagic and Thrombotic Disorders,2
Leukocytosis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Leukopenia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Lichen Planus,ProblemsDim,Hematological Disorders/Blood Disorder,1
Lymphocytopenia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Macrocytosis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Multiple Sclerosis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Myelodysplasia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Myelosuppression,ProblemsDim,Hematological Disorders/Blood Disorder,1
Myelosuppression/ Bone Marrow Dysfunction,ProblemsDim,Hematological Disorders/Blood Disorder,1
Neutropenia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Nutritional Deficiency Anemias,ProblemsDim,Hematological Disorders/Blood Disorder,1
Phlebitis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Photosensitivity,ProblemsDim,Hematological Disorders/Blood Disorder,1
Rh Negative,ProblemsDim,Hematological Disorders/Blood Disorder,1
Rh(D) Negative/Rhesus Isoimmunization,ProblemsDim,Hematological Disorders/Blood Disorder,1
Septicemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Severe Combined Immunodeficiency,ProblemsDim,Hematological Disorders/Blood Disorder,1
Sickle Cell Anemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Sickle Cell System,ProblemsDim,Hematological Disorders/Blood Disorder,1
Spleen Disorders,ProblemsDim,Hematological Disorders/Blood Disorder,1
Splenectomy,ProblemsDim,Hematological Disorders/Blood Disorder,1
Splenic Sequestration Crisis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Splenomegaly,ProblemsDim,Hematological Disorders/Blood Disorder,1
Stem Cell Transplant,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thalassemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombocythemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombocytopenia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombocytosis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thromboembolism,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombolic Event,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombophlebitis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombosis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombosis Embolism,ProblemsDim,Hematological Disorders/Blood Disorder,1
Thrombotic Complications,ProblemsDim,Hematological Disorders/Blood Disorder,1
Venous Thrombosis,ProblemsDim,Hematological Disorders/Blood Disorder,1
Vitamin B12 Deficiency Anemia,ProblemsDim,Hematological Disorders/Blood Disorder,1
Diseases and disorders of the circulatory system,ProblemsDim,,0
Postprocedural Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Abdominal Aortic Aneurysm (Aaa),ProblemsDim,Diseases and disorders of the circulatory system,1
Abnormal Ecg,ProblemsDim,Diseases and disorders of the circulatory system,1
Abnormal Electrocardiogram,ProblemsDim,Diseases and disorders of the circulatory system,1
Acute Myocardial Infarction,ProblemsDim,Diseases and disorders of the circulatory system,1
Acute Myocardial Infarction / Circulatory System,ProblemsDim,Diseases and disorders of the circulatory system,1
Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim,Diseases and disorders of the circulatory system,1
Advance Stage Of Congestive Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Aneurysm,ProblemsDim,Diseases and disorders of the circulatory system,1
Angina,ProblemsDim,Diseases and disorders of the circulatory system,1
Angina Pectoris,ProblemsDim,Diseases and disorders of the circulatory system,1
Angiopathy,ProblemsDim,Diseases and disorders of the circulatory system,1
Antibiotic Allergy In Cardiovascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Aortic Insufficiency,ProblemsDim,Diseases and disorders of the circulatory system,1
Aortic Stenosis,ProblemsDim,Diseases and disorders of the circulatory system,1
Arrhythmia,ProblemsDim,Diseases and disorders of the circulatory system,1
Arrythmia,ProblemsDim,Diseases and disorders of the circulatory system,1
Atherosclerosis,ProblemsDim,Diseases and disorders of the circulatory system,1
Atherosclerosis / Ischemic Vascular Disease (Ivd),ProblemsDim,Diseases and disorders of the circulatory system,1
Atherosclerosis Of Extremity With Ulceration Or Gangrene,ProblemsDim,Diseases and disorders of the circulatory system,1
Atherosclerotic Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Atresia And Stenosis Of The Aorta,ProblemsDim,Diseases and disorders of the circulatory system,1
Atrial Fibrillation,ProblemsDim,Diseases and disorders of the circulatory system,1
Atrial Fibrillation (Afib),ProblemsDim,Diseases and disorders of the circulatory system,1
Atrial Fibrillation Exclusions,ProblemsDim,Diseases and disorders of the circulatory system,1
Atrial Fibrillation/Atrial Flutter,ProblemsDim,Diseases and disorders of the circulatory system,1
Atrioventricular (Av) Block,ProblemsDim,Diseases and disorders of the circulatory system,1
Atrioventricular Block,ProblemsDim,Diseases and disorders of the circulatory system,1
Bradycardia,ProblemsDim,Diseases and disorders of the circulatory system,1
Bruising,ProblemsDim,Diseases and disorders of the circulatory system,1
Capillary Leak Syndrome,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Arrest,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Arrhythmia,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Conduction Disorders,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Defibrillator,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Pacemaker,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Pacemaker In Situ,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Pacer,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiac Shock,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiomegaly,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiomegaly/Left Ventricular Hypertrophy,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiomyopathy,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiorespiratory Arrest,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiovascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiovascular Disease)/Peripheral Vascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim,Diseases and disorders of the circulatory system,1
"Cardiovascular Disease, Hypertension",ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiovascular Disease/Coronary Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Cardiovascular Disease/Hypertension (High Blood Pressure),ProblemsDim,Diseases and disorders of the circulatory system,1
Cerebral Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Cerebral Infarction And Occlusion/Stenosis Of The Vertebral Artery,ProblemsDim,Diseases and disorders of the circulatory system,1
Cerebral Ischemia,ProblemsDim,Diseases and disorders of the circulatory system,1
Cerebrovascular Accident,ProblemsDim,Diseases and disorders of the circulatory system,1
Chronic Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Chronic Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Circulatory System Disorders,ProblemsDim,Diseases and disorders of the circulatory system,1
Complications Of The Arteriovenous Fistula,ProblemsDim,Diseases and disorders of the circulatory system,1
Congenital Heart Defect,ProblemsDim,Diseases and disorders of the circulatory system,1
Congestive Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Congestive Heart Failure (Chf),ProblemsDim,Diseases and disorders of the circulatory system,1
"Congestive Heart Failure, Chronic Obstructive Pulmonary Disease",ProblemsDim,Diseases and disorders of the circulatory system,1
"Congestive Heart Failure, Valve Disease",ProblemsDim,Diseases and disorders of the circulatory system,1
Control Of Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Artery Bypass Grafting,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Artery Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Artery Disease And No Myocardial Infarction,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Artery Disease/Myocardial Infarction,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Heart Disease (Chd),ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Heart Disease (Chd)/ Myocardial Infarction,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Heart Disease (Chd)/Ischemic Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Coronary Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Cutaneous Vasculitis Ulcerations,ProblemsDim,Diseases and disorders of the circulatory system,1
Deep Vein Thrombosis,ProblemsDim,Diseases and disorders of the circulatory system,1
Diastolic Blood Pressure,ProblemsDim,Diseases and disorders of the circulatory system,1
Diastolic Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Edema,ProblemsDim,Diseases and disorders of the circulatory system,1
Edema Of The Face,ProblemsDim,Diseases and disorders of the circulatory system,1
Endocarditis,ProblemsDim,Diseases and disorders of the circulatory system,1
Essential Hypertension,ProblemsDim,Diseases and disorders of the circulatory system,1
Family History F Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Family History Of Premature Coronary Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Gangrene,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Arrythmias,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Damage,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Disorders,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Infection,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Murmur,ProblemsDim,Diseases and disorders of the circulatory system,1
Heart Transplant,ProblemsDim,Diseases and disorders of the circulatory system,1
Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Hemorrhagic Stroke,ProblemsDim,Diseases and disorders of the circulatory system,1
Hypertension,ProblemsDim,Diseases and disorders of the circulatory system,1
Hypertensive Emergency,ProblemsDim,Diseases and disorders of the circulatory system,1
Hypertensive Encephalopathy,ProblemsDim,Diseases and disorders of the circulatory system,1
Hypotension,ProblemsDim,Diseases and disorders of the circulatory system,1
Hypoxemia,ProblemsDim,Diseases and disorders of the circulatory system,1
Hypoxia,ProblemsDim,Diseases and disorders of the circulatory system,1
Intercranial Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Interruption Of Aortic Arch,ProblemsDim,Diseases and disorders of the circulatory system,1
Intracerebral Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Intracranial Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Ischemic Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Ischemic Stroke,ProblemsDim,Diseases and disorders of the circulatory system,1
Ischemic Vascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Ischemic Vascular Disease (Ivd),ProblemsDim,Diseases and disorders of the circulatory system,1
Left Sided Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Left Ventricular Dysfunction,ProblemsDim,Diseases and disorders of the circulatory system,1
Left Ventricular Systolic Dysfunction,ProblemsDim,Diseases and disorders of the circulatory system,1
Limb Ischemia,ProblemsDim,Diseases and disorders of the circulatory system,1
Long Qt Syndrome (Lqts),ProblemsDim,Diseases and disorders of the circulatory system,1
Mitral Insufficiency,ProblemsDim,Diseases and disorders of the circulatory system,1
Mitral Valve Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Moderate To Severe Left Ventricular Systolic Dysfunction (LSVD),ProblemsDim,Diseases and disorders of the circulatory system,1
Myocardial Infarction,ProblemsDim,Diseases and disorders of the circulatory system,1
Myocardial Ischemia,ProblemsDim,Diseases and disorders of the circulatory system,1
Myocarditis,ProblemsDim,Diseases and disorders of the circulatory system,1
Nonhaemorrhagic Stroke,ProblemsDim,Diseases and disorders of the circulatory system,1
Nonrheumatic Mitral Valve Disorders,ProblemsDim,Diseases and disorders of the circulatory system,1
Non-St-Elevation Myocardial Infarction (Nstemi),ProblemsDim,Diseases and disorders of the circulatory system,1
Nontraumatic Subarachnoid Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Orthostatic Hypotension,ProblemsDim,Diseases and disorders of the circulatory system,1
Pacemaker/,ProblemsDim,Diseases and disorders of the circulatory system,1
Pallor,ProblemsDim,Diseases and disorders of the circulatory system,1
Pericardial Effusion,ProblemsDim,Diseases and disorders of the circulatory system,1
"Perioperative Hemorrhage, Hematoma",ProblemsDim,Diseases and disorders of the circulatory system,1
Peripheral Arterial Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Peripheral Arterial Occlusive Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Peripheral Artery Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Peripheral Edema,ProblemsDim,Diseases and disorders of the circulatory system,1
Peripheral Vascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Persistent Contraindication To All Antagonist In The Management Congenital Heart Defects (Chds),ProblemsDim,Diseases and disorders of the circulatory system,1
Pitting Edema,ProblemsDim,Diseases and disorders of the circulatory system,1
Portal Hypertension,ProblemsDim,Diseases and disorders of the circulatory system,1
Postmastectomy Lymphedema Syndrome,ProblemsDim,Diseases and disorders of the circulatory system,1
Pulmonary Hypertension,ProblemsDim,Diseases and disorders of the circulatory system,1
Pulmonary_Hypertension,ProblemsDim,Diseases and disorders of the circulatory system,1
Raynaud Phenomenon,ProblemsDim,Diseases and disorders of the circulatory system,1
Respiratory And Pulmonary System,ProblemsDim,Diseases and disorders of the circulatory system,1
Restingangina,ProblemsDim,Diseases and disorders of the circulatory system,1
Right Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Right Sided Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Sequelae After Cerebrovascular Accident,ProblemsDim,Diseases and disorders of the circulatory system,1
Shock Complications In Obstetrics And Gynecology,ProblemsDim,Diseases and disorders of the circulatory system,1
Shock Following Terminated Pregnancy,ProblemsDim,Diseases and disorders of the circulatory system,1
Shock/Cardiac Arrest,ProblemsDim,Diseases and disorders of the circulatory system,1
Steroid-Induced Diabetes Mellitus,ProblemsDim,Diseases and disorders of the circulatory system,1
Stroke,ProblemsDim,Diseases and disorders of the circulatory system,1
Subarachnoid And Extradural Hemorrhages,ProblemsDim,Diseases and disorders of the circulatory system,1
Supraventricular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Supraventricular Tachycardia,ProblemsDim,Diseases and disorders of the circulatory system,1
Syncope,ProblemsDim,Diseases and disorders of the circulatory system,1
Systolic Blood Pressure (Sbp),ProblemsDim,Diseases and disorders of the circulatory system,1
Systolic Heart Failure,ProblemsDim,Diseases and disorders of the circulatory system,1
Tachycardia,ProblemsDim,Diseases and disorders of the circulatory system,1
Tetrology Fallot,ProblemsDim,Diseases and disorders of the circulatory system,1
Thoracic Aortic Aneurysm,ProblemsDim,Diseases and disorders of the circulatory system,1
Torsade'S De Pointes,ProblemsDim,Diseases and disorders of the circulatory system,1
Transient Ischemic Attack,ProblemsDim,Diseases and disorders of the circulatory system,1
Transient Ischemic Attack (Tia) Or Cardiovascular Disease (Cvd),ProblemsDim,Diseases and disorders of the circulatory system,1
Transient Ischemic Attack (Tia) Or Stroke,ProblemsDim,Diseases and disorders of the circulatory system,1
Tricuspid Regurgitation,ProblemsDim,Diseases and disorders of the circulatory system,1
Truncus Arteriosus,ProblemsDim,Diseases and disorders of the circulatory system,1
Unstable Angina,ProblemsDim,Diseases and disorders of the circulatory system,1
Valve Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Valvular Heart Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Valvular Heart Disease / Cardiovascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Variceal Hemorrhage,ProblemsDim,Diseases and disorders of the circulatory system,1
Vascular And Ischemic Disorders,ProblemsDim,Diseases and disorders of the circulatory system,1
Vascular Disease,ProblemsDim,Diseases and disorders of the circulatory system,1
Vasculitis,ProblemsDim,Diseases and disorders of the circulatory system,1
Ventricular Septal Defect,ProblemsDim,Diseases and disorders of the circulatory system,1
Diseases and disorders of the circulatory system / Diseases and disorders of the kidney and urinary tract,ProblemsDim,,0
"Chronic Kidney Disease, Cerebrovascular Accident, Heart Failure",ProblemsDim,Diseases and disorders of the circulatory system / Diseases and disorders of the kidney and urinary tract,1
Diseases and disorders of the circulatory system / Diseases and disorders of the musculoskeletal system and connective tissue,ProblemsDim,,0
"Chronic Kidney Disease, Cerebrovascular Accident, Heart Failure",ProblemsDim,Diseases and disorders of the circulatory system / Diseases and disorders of the musculoskeletal system and connective tissue,1
Stroke,ProblemsDim,Diseases and disorders of the circulatory system / Diseases and disorders of the musculoskeletal system and connective tissue,1
Diseases and disorders of the digestive system,ProblemsDim,,0
Abdominal Epigastric Pain,ProblemsDim,Diseases and disorders of the digestive system,1
Acute Cecitis,ProblemsDim,Diseases and disorders of the digestive system,1
Ascites,ProblemsDim,Diseases and disorders of the digestive system,1
Bacterial disease,ProblemsDim,Diseases and disorders of the digestive system,1
Barretts Eesophagus,ProblemsDim,Diseases and disorders of the digestive system,1
Barretts Esophagus,ProblemsDim,Diseases and disorders of the digestive system,1
Bowel Incontinence,ProblemsDim,Diseases and disorders of the digestive system,1
Bowel infarction/ Intestinal ischemia,ProblemsDim,Diseases and disorders of the digestive system,1
Celiac Disease,ProblemsDim,Diseases and disorders of the digestive system,1
Cholera,ProblemsDim,Diseases and disorders of the digestive system,1
Chronic Malabsorption Syndromes,ProblemsDim,Diseases and disorders of the digestive system,1
Colitis,ProblemsDim,Diseases and disorders of the digestive system,1
Colostomy,ProblemsDim,Diseases and disorders of the digestive system,1
Constipation,ProblemsDim,Diseases and disorders of the digestive system,1
Dehydration,ProblemsDim,Diseases and disorders of the digestive system,1
Diarrhea,ProblemsDim,Diseases and disorders of the digestive system,1
Digestive System,ProblemsDim,Diseases and disorders of the digestive system,1
Diverticulitis,ProblemsDim,Diseases and disorders of the digestive system,1
Dyspepsia,ProblemsDim,Diseases and disorders of the digestive system,1
Dysphagia,ProblemsDim,Diseases and disorders of the digestive system,1
Enterocolitis,ProblemsDim,Diseases and disorders of the digestive system,1
Epigastric_burning,ProblemsDim,Diseases and disorders of the digestive system,1
Esophageal,ProblemsDim,Diseases and disorders of the digestive system,1
Esophageal GI Bleed,ProblemsDim,Diseases and disorders of the digestive system,1
Esophageal Ulcer,ProblemsDim,Diseases and disorders of the digestive system,1
Esophageal Varices,ProblemsDim,Diseases and disorders of the digestive system,1
Esophageal Varicies With Bleeding,ProblemsDim,Diseases and disorders of the digestive system,1
Esophagitis,ProblemsDim,Diseases and disorders of the digestive system,1
Esophagus Stomach Duodenum,ProblemsDim,Diseases and disorders of the digestive system,1
Fecal Incontinence,ProblemsDim,Diseases and disorders of the digestive system,1
Flatulence,ProblemsDim,Diseases and disorders of the digestive system,1
Gastric Procedure Complication,ProblemsDim,Diseases and disorders of the digestive system,1
Gastritis,ProblemsDim,Diseases and disorders of the digestive system,1
Gastroesophageal Reflux,ProblemsDim,Diseases and disorders of the digestive system,1
Gastroesophageal reflux disease (GERD),ProblemsDim,Diseases and disorders of the digestive system,1
Gastrointestinal Fistula,ProblemsDim,Diseases and disorders of the digestive system,1
Gastrointestinal Hemorrhage,ProblemsDim,Diseases and disorders of the digestive system,1
Gastrointestinal Obstruction,ProblemsDim,Diseases and disorders of the digestive system,1
Gastrointestinal Perforation,ProblemsDim,Diseases and disorders of the digestive system,1
Gastrointestinal System,ProblemsDim,Diseases and disorders of the digestive system,1
Gastrostomy,ProblemsDim,Diseases and disorders of the digestive system,1
"Hematemesis, Melena",ProblemsDim,Diseases and disorders of the digestive system,1
"Hemorrhage, Acute Ulcer",ProblemsDim,Diseases and disorders of the digestive system,1
Hemorrhagic Diarrhea,ProblemsDim,Diseases and disorders of the digestive system,1
Hemorrhoids,ProblemsDim,Diseases and disorders of the digestive system,1
Hiatal Hernia,ProblemsDim,Diseases and disorders of the digestive system,1
Hyperperistalsis,ProblemsDim,Diseases and disorders of the digestive system,1
Ileus,ProblemsDim,Diseases and disorders of the digestive system,1
Induced Vomit,ProblemsDim,Diseases and disorders of the digestive system,1
Inflammatory Bowel Disease,ProblemsDim,Diseases and disorders of the digestive system,1
Intestinal Obstruction,ProblemsDim,Diseases and disorders of the digestive system,1
Intestinal Obstruction Perforation,ProblemsDim,Diseases and disorders of the digestive system,1
Intestinal Transplant Status,ProblemsDim,Diseases and disorders of the digestive system,1
Loose Stools,ProblemsDim,Diseases and disorders of the digestive system,1
Major Bowel,ProblemsDim,Diseases and disorders of the digestive system,1
Melena,ProblemsDim,Diseases and disorders of the digestive system,1
Mucositis,ProblemsDim,Diseases and disorders of the digestive system,1
Nausea,ProblemsDim,Diseases and disorders of the digestive system,1
Nausea Vomiting,ProblemsDim,Diseases and disorders of the digestive system,1
Obstruction of Colon,ProblemsDim,Diseases and disorders of the digestive system,1
