"sub_disease_name","section_name"
Hypochloremia,ProblemsDim
Myelodysplastic Syndrome (Mds),ProblemsDim
"Myeloproliferative diseases and disorders, poorly differentiated neoplasms",ProblemsDim
Leukocytosis,ProblemsDim
Acne,ProblemsDim
Hypoalbuminemia,ProblemsDim
Cytopenia,ProblemsDim
Epistaxis,ProblemsDim
Bone Pain,ProblemsDim
Autoimmune Thrombocytopenia,ProblemsDim
Peptic Ulcer,ProblemsDim
Left Ventricular Systolic Dysfunction,ProblemsDim
Family History Of Premature Coronary Heart Disease,ProblemsDim
Folliculitis,ProblemsDim
Hypercholesterolemia,ProblemsDim
Constipation,ProblemsDim
Diseases and disorders of the ENT,ProblemsDim
Earache,ProblemsDim
Menopause,ProblemsDim
Splenomegaly,ProblemsDim
Dry Skin,ProblemsDim
Neutropenia,ProblemsDim
Esophagitis,ProblemsDim
Mitochondrial Myopathy,ProblemsDim
Pneumatosis Cystoides,ProblemsDim
Jaundice,ProblemsDim
Hypomagnesemia,ProblemsDim
Henoch-Schoenlein Purpura (Hsp),ProblemsDim
Meningococcal Disease,ProblemsDim
Cranial Nerve Palsies,ProblemsDim
Cystoid Macular Edema (Cme),ProblemsDim
Conjunctival Hyperemia,ProblemsDim
Epiphora,ProblemsDim
Neurotoxicity,ProblemsDim
Impaired Renal Tubular Function,ProblemsDim
Seizures,ProblemsDim
Mental And Behavioral Disorder,ProblemsDim
Mental Behaviour Disorder,ProblemsDim
Mental Health,ProblemsDim
Mental Illness,ProblemsDim
Mental diseases and disorders / Diseases and disorders of the nervous system,ProblemsDim
Pulmonary_Embolism,ProblemsDim
Alcohol And Drug Dependence,ProblemsDim
Alcohol Drug Dependence,ProblemsDim
Alcohol Use Disorder/Substance Use Disorder,ProblemsDim
Alcohol or drug use or induced organic mental disorders,ProblemsDim
Drug Abuse Dependence,ProblemsDim
Substance Abuse,ProblemsDim
Substance Use Disorder,ProblemsDim
Fractures,ProblemsDim
Complication Of Pregnancy,ProblemsDim
Newborns and other neonates with conditions originating in perinatal period,ProblemsDim
Non Live Birth,ProblemsDim
Latent Tuberculosis,ProblemsDim
Cancer,ProblemsDim
Viral Disease,ProblemsDim
Chronic Heart Disease,ProblemsDim
Chronic Heart Failure,ProblemsDim
Congestive Heart Failure,ProblemsDim
Diabetes Mellitus Type 1,ProblemsDim
Heart Failure,ProblemsDim
Hypertension,ProblemsDim
Ischemic Heart Disease,ProblemsDim
Pleural Effusion,ProblemsDim
Glaucoma,ProblemsDim
Chronic Obstructive Pulmonary Disease (COPD)/ Asthma/ Bronchitis,ProblemsDim
Arrhythmia,ProblemsDim
Chronic Liver Disease,ProblemsDim
Liver Cirrhosis,ProblemsDim
Osteoarthritis,ProblemsDim
Peripheral Artery Disease,ProblemsDim
Peripheral Vascular Disease,ProblemsDim
Diseases and disorders of the male reproductive system,ProblemsDim
Sterility,ProblemsDim
Congestive Heart Failure (Chf),ProblemsDim
Pericardial Effusion,ProblemsDim
Alzheimer Related Dementia,ProblemsDim
COVID19 Fever,ProblemsDim
Aspirin Contraindications,ProblemsDim
Bleeding And Coagulation Abnormalities,ProblemsDim
Bleeding And Coagulation Disorders Exclusions,ProblemsDim
Coagulation Disorder,ProblemsDim
Miscellaneous,ProblemsDim
Glomerulonephritis And Nephrotic Syndrome,ProblemsDim
Nephropathy Treatment,ProblemsDim
Lung_Transplant,ProblemsDim
COVID19,ProblemsDim
Anemia,ProblemsDim
Anemias And Bleeding Disorders,ProblemsDim
Allergy To Egg Substance,ProblemsDim
Osteoporosis,ProblemsDim
Neurologic Impairment,ProblemsDim
Contradiction To A Beta Blocker,ProblemsDim
Hemorrhage,ProblemsDim
"Parkinson Disease, Sclerosis, Huntington",ProblemsDim
Frailty,ProblemsDim
Live Birth / Outcome Of Delivery,ProblemsDim
Limb Pain,ProblemsDim
Chronic Obstructive Pulmonary Disease (COPD) /  Dyspnea,ProblemsDim
Dyspnea,ProblemsDim
Dyspnea Cough Wheezing Cough,ProblemsDim
Bronchospasm,ProblemsDim
Paresthesia,ProblemsDim
Alcohol Use Disorder,ProblemsDim
Abdominal Epigastric Pain,ProblemsDim
Acute Myocardial Infarction,ProblemsDim
Acute Myocardial Infarction / Ischemic Vascular Disease (Ivd) / Coronary Artery Disease (Cad ),ProblemsDim
Cardiovascular Disease,ProblemsDim
"Cardiovascular Disease, Coronary Artery Disease",ProblemsDim
Coronary Artery Disease,ProblemsDim
Coronary Artery Disease/Myocardial Infarction,ProblemsDim
Myocardial Infarction,ProblemsDim
Vascular Disease,ProblemsDim
"Chronic Kidney Disease, Cerebrovascular Accident, Heart Failure",ProblemsDim
Diseases and disorders of the circulatory system / Diseases and disorders of the kidney and urinary tract,ProblemsDim
Diseases and disorders of the circulatory system / Diseases and disorders of the musculoskeletal system and connective tissue,ProblemsDim
Uric Acid Crystalluria,ProblemsDim
Urine Color,ProblemsDim
Hypothyroidism,ProblemsDim
Atypical Pregnancy Situations,ProblemsDim
Pregnancy,ProblemsDim
Multigravida/Pregnancy,ProblemsDim
Live Birth Or Delivery,ProblemsDim
Cognitive Impairment,ProblemsDim
Catatonic Behaviour,ProblemsDim
HIV Behavior,ProblemsDim
Liver Disease,ProblemsDim
Disorders Of The Immune System,ProblemsDim
Immunodeficiency,ProblemsDim
"Fractures Involving The Hip, Spine, And Distal Radius (Wrist)",ProblemsDim
Bursitis And Tendinitis,ProblemsDim
Bursitis Tendinitis,ProblemsDim
Intolerance To Tamoxifen Or Aromatase Inhibitor Therapy Allergen,ProblemsDim
Right Sided Heart Failure,ProblemsDim
Respiratory Disease,ProblemsDim
Coronary Artery Disease And No Myocardial Infarction,ProblemsDim
Ischemic Vascular Disease,ProblemsDim
Factors influencing health status and other contacts with health services,ProblemsDim
Non-Tobacco User,ProblemsDim
Intermittent Asthma,ProblemsDim
Hepatic Encephalopathy,ProblemsDim
Retinopathy,ProblemsDim
Hoarseness Sore Throat,ProblemsDim
Immune System Management,ProceduresDim
Oncological Assessment,ProceduresDim
Barbiturates,PatientMedicationDim
Phenobarbitol,PatientMedicationDim
"Lung, And Brain Cancer",ProblemsDim
Cancers except NonMelanoma,ProblemsDim
Colorectal Cancer,ProblemsDim
Hepatocellular Carcinoma,ProblemsDim
Esophageal Varicies With Bleeding,ProblemsDim
Liver Cancer,ProblemsDim
Lymphatic Tissue Cancer,ProblemsDim
Head And Neck Cancer,ProblemsDim
Lung Cancer,ProblemsDim
Non Hodgkin Lymphoma,ProblemsDim
Breast And Prostate Cancer,ProblemsDim
Melanoma,ProblemsDim
Thyroid Cancer,ProblemsDim
"Thyroid, Melanoma  And Neurofibromatosis",ProblemsDim
Skin Cancer,ProblemsDim
Peritoneal Cancer,ProblemsDim
Breast Cancer,ProblemsDim
Smoking Cessation Agents,PatientMedicationDim
Alpha-1 Adrenergic Receptor Antagonists,PatientMedicationDim
Antihypertensives,PatientMedicationDim
Cardiovascular Agents,PatientMedicationDim
Nifedipine Medications,PatientMedicationDim
Opioids,PatientMedicationDim
Topical Agents,PatientMedicationDim
Platelet Satellitism,ResultsDim
Referral for Depression Screening Adolescent,ResultsDim
Cervical Smear,ResultsDim
Gleason Score,ResultsDim
Prostate Cancer Grading,ResultsDim
HER2 Testing,ResultsDim
QT interval,ResultsDim
Antibiotic Macrolide Sensitivity Testing,ResultsDim
Clarithromycin Sensitivity Testing,ResultsDim
Anthropometric measurements,ResultsDim
Weight,ResultsDim
Amoxicillin Clavulanic Sensitivity Testing,ResultsDim
Serum Antibiotic Penicillin,ResultsDim
Ampicillin Sensitivity Testing,ResultsDim
Azithromycin Sensitivity Testing,ResultsDim
Antibiotic Monobactam Sensitivity testing,ResultsDim
Aztreonam Sensitivity Testing,ResultsDim
Cefazolin Sensitivity Testing,ResultsDim
CephR Cefepime Sensitivity Testing,ResultsDim
Antibiotic Lincomycin Sensitivity Testing,ResultsDim
Clindamycin Sensitivity Testing,ResultsDim
Antibiotic Polymyxin Sensitivity Testing,ResultsDim
Colistin Sensitivity Testing,ResultsDim
Doxycycline Sensitivity Testing,ResultsDim
Erythromycin Sensitivity Testing,ResultsDim
Antibiotic Sensitivity Test Carbapenem,ResultsDim
Imipenem Sensitivity Testing,ResultsDim
Meropenem Sensitivity Testing,ResultsDim
Polymyxin B Sensitivity Testing/ Polymyxin B Level,ResultsDim
Antibiotic Rifamycin Sensitivity testing,ResultsDim
Rifampin Sensitivity Testing,ResultsDim
Antibiotic Aminoglycoside Sensitivity Testing,ResultsDim
Streptomycin Sensitivity Testing,ResultsDim
Tetracycline Sensitivity Testing,ResultsDim
Antibiotic Penicillin + Clavulanic Acid Sensitivity Testing,ResultsDim
Ticarcillin-Clavulanate Sensitivity Testing,ResultsDim
Antibiotic Diaminopyrimidines Sulfonamide Sensitivity Testing,ResultsDim
Trimethoprim Sulfameth Sensitivity Testing,ResultsDim
Antibiotic Glycopeptide Sensitivity testing,ResultsDim
VRE Vancomycin Sensitivity Testing,ResultsDim
HBA17 Gene Mutations,ResultsDim
Human chorionic gonadotropin (HCG) levels,ResultsDim
Magnesium,ResultsDim
AST Activity,ResultsDim
COPD PaO2,ResultsDim
PaO2 (Partial Pressure of Oxygen),ResultsDim
Eye Examination,ResultsDim
Macular Edema Findings,ResultsDim
Macular Examination,ResultsDim
Bilirubin Urine,ResultsDim
Bilirubin,ResultsDim
Plethysmography Test,ResultsDim
Pulmonary Function Test,ResultsDim
COPD ABG,ResultsDim
FVC,ResultsDim
FEV1 FVC Ratio,ResultsDim
FiO2 (Fraction of Inspired Oxygen),ResultsDim
Mechanical Ventilation,ResultsDim
FEV1,ResultsDim
FEV1 Predicted,ResultsDim
CO Poisoning Tests Blood Quantitative,ResultsDim
CO poisoning test,ResultsDim
Urinary Erythrocytes,ResultsDim
Cardiolipin Antibody Test,ResultsDim
Cardiolipin IgG,ResultsDim
Cardiolipin IgM,ResultsDim
HIV Viral Load,ResultsDim
Proteinuria,ResultsDim
Urine Albumin Test (Macroalbumin),ResultsDim
Urine Protein Test,ResultsDim
CD3 Count,ResultsDim
Urine Creatinine Lab Test,ResultsDim
Electrolyte Test Electrolytes/ Chloride,ResultsDim
Culture for Brucellosis Detection,ResultsDim
CDiff Stool Culture,ResultsDim
Clostridium Difficile CDiff POS Stool Culture,ResultsDim
Cryptosporidium Dection,ResultsDim
Parasitic infection Screening,ResultsDim
HDL High Density Lipoprotein  C Lab Test,ResultsDim
HDL High Density Lipoprotein C Laboratory Test,ResultsDim
Mycobacterium tuberculosis Detected,ResultsDim
very low-density lipoprotein VLDLC Level,ResultsDim
Arbovirus testing,ResultsDim
Babesia PCR Screen,ResultsDim
DMD  Gene Mutations,ResultsDim
DMD Gene Mutations Detection,ResultsDim
Lab Test Mumps Test,ResultsDim
Measles Antigen Test,ResultsDim
Serology Test for Mumps,ResultsDim
Rubella Ab Detection,ResultsDim
Serology Test for Varicella Zoster,ResultsDim
GFR investigation,ResultsDim
BRCA1  Gene Mutation,ResultsDim
r BRCA1/BRCA2 Mutation Detection,ResultsDim
EGFR Mutation,ResultsDim
F5 Gene Mutations,ResultsDim
F5 Gene Mutations Detection,ResultsDim
Clotting Factor assays,ResultsDim
factor VIII Assay,ResultsDim
HBA1 Gene Mutations,ResultsDim
HBA1 Mutations Detection,ResultsDim
KRAS NRAS Mutation,ResultsDim
r KRAS/NRAS Mutations Detection,ResultsDim
Philadelphia Chromosome Detection,ResultsDim
chromosomal translocation Detection,ResultsDim
Hepatitis A  Antigen,ResultsDim
Hepatitis D Antibody,ResultsDim
BMI,ResultsDim
BMI Percentile,ResultsDim
Gentamicin Level,ResultsDim
Tobramycin Trough,ResultsDim
Anthrax Antibody Detection Test,ResultsDim
Anthrax Tests Antibody Qualitative,ResultsDim
Anthrax Antigen Detection Test,ResultsDim
Campylobacter serology test,ResultsDim
Antibiotic Macrolide-Lincosamide-Streptogramin Sensitivity Testing,ResultsDim
Quinupristin Dalfopristin Sensitivity Testing,ResultsDim
Glutathione levels,ResultsDim
HBA11 Gene Mutations,ResultsDim
Synovial Fluid Analysis For Gonorrhoea,ResultsDim
Glucophage,PatientMedicationDim
Metformin Monotherapy,PatientMedicationDim
Pioglitazone,PatientMedicationDim
Glipizide,PatientMedicationDim
Excessive Daytime Sleepiness (Eds),ProblemsDim
Sleep Disorder,ProblemsDim
Chronic Obstructive Pulmonary Disease (COPD),ProblemsDim
Emphysema,ProblemsDim
Ischemic Vascular Disease (Ivd),ProblemsDim
Intracranial Hemorrhage,ProblemsDim
Paralysis,ProblemsDim
Nausea Vomiting,ProblemsDim
Psychotic Disorders,ProblemsDim
Schizophrenia,ProblemsDim
Mood Disorders,ProblemsDim
Adverse Reactions Of Influenza Vaccine,ProblemsDim
Allergy To Eggs,ProblemsDim
Vaccine Causing Adverse Effect,ProblemsDim
Tendinitis,ProblemsDim
Alcoholism,ProblemsDim
Intolerance To Antineoplastic Therapy,ProblemsDim
Adverse Reaction To Tamoxifen,ProblemsDim
"Intolerance To Tamoxifen, Aromatase Therapy",ProblemsDim
Tamoxifen Allergy,ProblemsDim
Adverse Effect Of Beta-Adrenoreceptor Antagonists,ProblemsDim
Allergy To Intolerance,ProblemsDim
Intolerance To Beta Blocker Therapy,ProblemsDim
Chelation Therapy,ProblemsDim
Antibiotic Allergy In Cardiovascular Disease,ProblemsDim
Anaphylactic Reaction,ProblemsDim
Neomycin Allergy,ProblemsDim
Bruising,ProblemsDim
Polymyxin B Allergy,ProblemsDim
Attention Deficit Disorder (ADD),ProblemsDim
Confusion,ProblemsDim
Medication Allergy,ProblemsDim
Anaphylactic Reaction Hep B,ProblemsDim
Anaphylactic Reaction To Hep B Vaccine,ProblemsDim
Anaphylaxis,ProblemsDim
Intolerance To Influence Vaccine,ProblemsDim
Intolerance To Influenza Vaccine,ProblemsDim
"Vaccine Allergy To Measles, Mumps And Rubella",ProblemsDim
Pneumococcal Vaccine Allergy,ProblemsDim
Chronic Bronchitis,ProblemsDim
Obstructive Chronic Bronchitis,ProblemsDim
Hematologic Disorders,ProblemsDim
Contraindications To Ace Inhibitors (Aceis) And Angiotensin II Receptor Blockers (Arbs) In Heart Failure (Hf),ProblemsDim
"End-Stage Kidney Disease, Hypertension",ProblemsDim
Hypersensitive Reaction Towards Angiotensive Converting Enzyme Inhibitors And Angiotensive Receptor Blockers,ProblemsDim
Inability To Tolerate Ace Inhibitors (Angiotensin-Converting Enzyme Inhibitors) Or Arbs (Angiotensin II Receptor Blockers),ProblemsDim
Intolerance To Ace Inhibitor,ProblemsDim
Allergy To Medication,ProblemsDim
Allergy To Antineoplastic Therapy,ProblemsDim
Beta Blocker Therapy,ProblemsDim
Alzheimer Disease,ProblemsDim
Influenza Vaccine Allergy,ProblemsDim
Vaccine Allergy,ProblemsDim
Prediabetes,ProblemsDim
Adverse Reactions Associated With The Use Of Ace Inhibitors (ACEi) And Angiotensin Ii Receptor Blockers (Arbs),ProblemsDim
Foot Deformity,ProblemsDim
Drug Overuse,ProblemsDim
Cataract,ProblemsDim
Bipolar And Unipolar Depression,ProblemsDim
Bipolar Disorder,ProblemsDim
Bipolar Disorder/Unipolar Disorder,ProblemsDim
Bipolar Disorder/Unipolar Disorder/Depression,ProblemsDim
Depression,ProblemsDim
Mania,ProblemsDim
Major Depressive Disorder (Mdd),ProblemsDim
Antigout Agents,PatientMedicationDim
Physical examination,ProceduresDim
Obstetrics,ProceduresDim
Pacemaker surgery,ProceduresDim
"Bile duct, liver or pancreatic surgery",ProceduresDim
General Surgery,ProceduresDim
Ulcer,ProblemsDim
Myopathy,ProblemsDim
Sleep Apnea,ProblemsDim
Sleep Studies,ProblemsDim
Prostate Cancer,ProblemsDim
Chronic Kidney Disease,ProblemsDim
"Chronic Kidney Disease (Ckd) , End-Stage Kidney Disease",ProblemsDim
Acute Bronchitis,ProblemsDim
Alzheimer's Disease,ProblemsDim
Drug Abuse,ProblemsDim
Liver System,ProblemsDim
Generalized Anxiety Disorder,ProblemsDim
Pneumonia,ProblemsDim
Respiratory And Pulmonary Disease,ProblemsDim
Language Problem,ProblemsDim
Haemophilus Influenzae Disease,ProblemsDim
Tonsillitis,ProblemsDim
Pressure Ulcer,ProblemsDim
Varicella-Zoster Virus Infection,ProblemsDim
Tuberculosis (TB),ProblemsDim
Rheumatoid Arthritis,ProblemsDim
Rheumatoid Arthritis (Ra),ProblemsDim
"Cardiovascular Disease, Hypertension",ProblemsDim
Essential Hypertension,ProblemsDim
Xeroderma,ProblemsDim
Absence Of Cervix,ProblemsDim
Alcohol Abuse,ProblemsDim
Delivery,ProblemsDim
"HIVs, Aids",ProblemsDim
Gestational Diabetes Mellitus,ProblemsDim
Vitreomacular Traction,ProblemsDim
Thalassemia,ProblemsDim
Opioid Abuse,ProblemsDim
Hip Fracture,ProblemsDim
Dialysis,ProblemsDim
Skin Infection,ProblemsDim
Gastrointestinal Hemorrhage,ProblemsDim
Diphtheria,ProblemsDim
Hemophilia,ProblemsDim
Anxiety,ProblemsDim
Coccidioidomycosis,ProblemsDim
Gastrointestinal System,ProblemsDim
Mucositis,ProblemsDim
Muscular Pian And Disease,ProblemsDim
Seborrhea,ProblemsDim
Ovarian Cancer,ProblemsDim
Kidney Cancer,ProblemsDim
Bladder Cancer,ProblemsDim
Lung And Brain Cancer,ProblemsDim
Aminoglycosides,PatientMedicationDim
Glycopeptide Antibiotics,PatientMedicationDim
Vancomycin,PatientMedicationDim
Gonadotropin Releasing Hormones,PatientMedicationDim
BCR-ABL Tyrosine Kinase Inhibitors,PatientMedicationDim
Dasatinib,PatientMedicationDim
Imatinib/Dasatinib,PatientMedicationDim
Tyrosine Kinase Inhibitors,PatientMedicationDim
Systemic/Oral Steroids,PatientMedicationDim
Retinoids,PatientMedicationDim
Potassium Sparing Diuretics,PatientMedicationDim
Bisphosphonate,PatientMedicationDim
Inhaled Steroids,PatientMedicationDim
Antiparkinsonism Agents,PatientMedicationDim
Glumetza,PatientMedicationDim
Anti Thrombotics,PatientMedicationDim
Alcohol Consumption Rec,ResultsDim
ETOH Consumption,ResultsDim
Moderation of ETOH Consumption Rec,ResultsDim
Fasting Lipid Profile,ResultsDim
Arterial Blood Gas (ABG),ResultsDim
SaO3 (Oxygen Saturation),ResultsDim
CD4  Count,ResultsDim
CD5  Count,ResultsDim
CD6  Count,ResultsDim
F2 Gene Mutations,ResultsDim
F2 Mutations Detection,ResultsDim
IgA Quantitation,ResultsDim
IgG Quantitation,ResultsDim
IgG1 Quantitation,ResultsDim
XRay Lower Spine,ResultsDim
IgG2 Quantitation,ResultsDim
IgG3 Quantitation,ResultsDim
Lower Spine CT,ResultsDim
MRI  Lower Spine,ResultsDim
Bone scan,ResultsDim
Albumin Creatinine Ratio,ResultsDim
Haptoglobin,ResultsDim
Haptoglobin (HP) Level,ResultsDim
Liver protein test,ResultsDim
Hematology Leukocyte_count,ResultsDim
Leukocyte Count,ResultsDim
White Blood Count,ResultsDim
Platelets Count,ResultsDim
Leukocyte Esterase Urine,ResultsDim
Anxiety Assessment,ResultsDim
Antithrombin Activity,ResultsDim
Antithrombin testing,ResultsDim
Antithrombin_Activity,ResultsDim
Protein C,ResultsDim
Proten C & Protein S Assay,ResultsDim
Proten C Test,ResultsDim
Proetin S,ResultsDim
Proten S Test,ResultsDim
Physical Activity Recommendation,ResultsDim
LTBI Detection,ResultsDim
Screening Test,ResultsDim
HBA10 Gene Mutations,ResultsDim
Synovial Fluid Analysis For Crystals,ResultsDim
PK Enzyme Activity,ResultsDim
Urine Specific Gravity Test,ResultsDim
Iron studies/ Liver Biopsy,ResultsDim
Heart Rate,ResultsDim
Folic Acid Level,ResultsDim
ALAS4 Mutation Detection,ResultsDim
ALAS4 mutation test,ResultsDim
HCV Genotyping,ResultsDim
t Nucleic Acid Test HIV NAT,ResultsDim
Lipid Panel Result,ResultsDim
Breast Cancer Screening,ResultsDim
Granulocytes percentage,ResultsDim
HbA1c Less than 7,ResultsDim
HbA1c Level Less Than 9,ResultsDim
HbA2c Test,ResultsDim
HbA1c 7 to 9,ResultsDim
HbA1c Level Between 7 and 10,ResultsDim
HbA1c Level Between 7 and 9,ResultsDim
HbA1c Greater Than 8,ResultsDim
HbA1c Greater Than 9,ResultsDim
HbA1c Level Greater Than 9,ResultsDim
Free Low Density Lipoprotein LDLC < 100,ResultsDim
Free Low Density Lipoprotein LDLC < 102,ResultsDim
LDL-C 100 to 129,ResultsDim
LDL-C > 100,ResultsDim
Free Low Density Lipoprotein LDLC >= 130,ResultsDim
HbA1c Level Greater Equal to 7 and Less Than 8,ResultsDim
Positive Macroalbuminuria Test Result,ResultsDim
Negative Microalbuminuria Test Result,ResultsDim
Urinary Uric Acid,ResultsDim
Antibiotic Fluoroquinolones Sensitivity Testing,ResultsDim
Moxifloxacin Sensitivity Testing,ResultsDim
Urine Cytology,ResultsDim
Gentamicin  Level,ResultsDim
Serum Amikacin Peak,ResultsDim
Amikacin Trough,ResultsDim
Serum Amikacin Troughlevel,ResultsDim
Fish Analysis,ResultsDim
Height,ResultsDim
Euphoria,ProblemsDim
Mood Swings,ProblemsDim
Delusion,ProblemsDim
Thrombosis,ProblemsDim
Neoplasm related pain,ProblemsDim
Tricuspid Regurgitation,ProblemsDim
Proteinuria,ProblemsDim
Conjunctivitis,ProblemsDim
Bleeding Complications,ProblemsDim
Neurological Conditions,ProblemsDim
End-Stage Kidney Disease,ProblemsDim
End-Stage Renal Disease,ProblemsDim
End-Stage Renal Disease (Esrd) And Renal Failure,ProblemsDim
Unilateral Amputation,ProblemsDim
Weakness,ProblemsDim
Paresis,ProblemsDim
Obesity,ProblemsDim
Neck And Backaches,ProblemsDim
Bradycardia,ProblemsDim
Autism And Related Disorder,ProblemsDim
Autism,ProblemsDim
Autism Spectrum Disorders (Asd),ProblemsDim
Pervasive Developmental Disorder,ProblemsDim
Hip Pain,ProblemsDim
Hyperlipidemia,ProblemsDim
Respiratory Signs,ProblemsDim
Hypertriglyceridemia,ProblemsDim
Keratoconjunctivitis Sicca,ProblemsDim
Barretts Eesophagus,ProblemsDim
Barretts Esophagus,ProblemsDim
Aplastic Anemia,ProblemsDim
Glossodynia,ProblemsDim
Diverticulitis,ProblemsDim
Myelosuppression/ Bone Marrow Dysfunction,ProblemsDim
Decompensated Cirrhosis,ProblemsDim
Aids,ProblemsDim
Endocarditis,ProblemsDim
Bronchitis,ProblemsDim
Erythema Nodosum,ProblemsDim
Restless Leg Syndrome,ProblemsDim
Anaphylactoid Reactions,ProblemsDim
Hyperuricemia,ProblemsDim
Erythema,ProblemsDim
Malaise,ProblemsDim
Atypical Hyperplasia,ProblemsDim
Myelosuppression,ProblemsDim
Acute Chest Syndrome,ProblemsDim
Gastrointestinal Fistula,ProblemsDim
Neuropathy,ProblemsDim
Fever,ProblemsDim
Menorrhagia,ProblemsDim
Cystitis,ProblemsDim
Ascites,ProblemsDim
Hypoxia,ProblemsDim
Celiac Disease,ProblemsDim
Exfoliative Dermatitis,ProblemsDim
Growth Hormone Deficiency,ProblemsDim
Loose Stools,ProblemsDim
Falling Injury,ProblemsDim
Hirsutism,ProblemsDim
Personality Disorders,ProblemsDim
Dysthymia,ProblemsDim
Spleen Disorders,ProblemsDim
Gestational Sac Absent,ProblemsDim
Fracture,ProblemsDim
"Depression, Dysthymia",ProblemsDim
Epididmytitis,ProblemsDim
Vascular And Ischemic Disorders,ProblemsDim
Ischemic Stroke,ProblemsDim
Skin Ulcer,ProblemsDim
Angina,ProblemsDim
Angina Pectoris,ProblemsDim
Atrial Fibrillation/Atrial Flutter,ProblemsDim
Personality Disorder,ProblemsDim
Urinary Tract Infection,ProblemsDim
Coughing Wheezing,ProblemsDim
Chronic Hemolytic Anemia,ProblemsDim
Hemolytic Anemia,ProblemsDim
Toxic Megacolon,ProblemsDim
Deafness,ProblemsDim
Cellulitis,ProblemsDim
Hematoma,ProblemsDim
Mass Lesion Brain,ProblemsDim
Acute Renal Insufficiency /Acute Kidney Injury,ProblemsDim
Acute Renal Insufficiency/Acute Kidney Injury,ProblemsDim
Renal Failure,ProblemsDim
Thrombocytopenia,ProblemsDim
Thoracic Aortic Aneurysm,ProblemsDim
Exophthalmos,ProblemsDim
Sexual Dysfunction,ProblemsDim
Erectile Dysfunction (Ed),ProblemsDim
Renal Artery Stenosis,ProblemsDim
Sexually Transmitted Infection (STI) /Papillomavirus Infection,ProblemsDim
Infertility,ProblemsDim
Acute Sinusitis,ProblemsDim
Hematologic Malignancies,ProblemsDim
Lymphomas,ProblemsDim
Lymphoreticular Cancer,ProblemsDim
Leukemia,ProblemsDim
Hypoglycemia,ProblemsDim
Acute Tonsillitis,ProblemsDim
Atrioventricular (Av) Block,ProblemsDim
Atrioventricular Block,ProblemsDim
Cardiac Conduction Disorders,ProblemsDim
Glucosuria,ProblemsDim
Transfusion Reaction,ProblemsDim
Asthma,ProblemsDim
Asthma Assessment,ProblemsDim
Gout,ProblemsDim
Drug Dependence,ProblemsDim
Traumatic Injury,ProblemsDim
Inflammatory Diseases Of Female Reproductive Organs,ProblemsDim
Periodontal Disease,ProblemsDim
Ophthalmological Assessment,ProceduresDim
Congenital Syphilis,ProblemsDim
Neck And Back Ache,ProblemsDim
Dental Caries,ProblemsDim
Pulmonary Hypertension,ProblemsDim
Pulmonary_Hypertension,ProblemsDim
Multiple Myeloma,ProblemsDim
Thrombocythemia,ProblemsDim
Babesiosis,ProblemsDim
"Encephalitis, Meningitis",ProblemsDim
Thromboembolism,ProblemsDim
Peripheral Neuropathy,ProblemsDim
Arthropathy,ProblemsDim
Left Sided Heart Failure,ProblemsDim
Thrombocytosis,ProblemsDim
Thrombosis Embolism,ProblemsDim
Thrombotic Complications,ProblemsDim
Venous Thrombosis,ProblemsDim
Cerebral Ischemia,ProblemsDim
Hearing Loss,ProblemsDim
Liver Disorders,ProblemsDim
Hemolytic Uremic Syndrome,ProblemsDim
Chronic Kidney Disease (Ckd) Caused Or Exacerbated By Hypertension,ProblemsDim
Ckd (Chronic Kidney Disease) With Proteinuria,ProblemsDim
Diseases and disorders of the kidney and urinary tract / Diseases and disorders of the circulatory system,ProblemsDim
Hypertensive Chronic Kidney Disease,ProblemsDim
Primary Open Angle Glaucoma,ProblemsDim
Primary Open-Angle Glaucoma (Poag),ProblemsDim
Ovarian Failure,ProblemsDim
Type1 Diabetes Mellitus without Complications,ProblemsDim
Type2 Diabetes Mellitus,ProblemsDim
Ketoacidosis,ProblemsDim
Severe Combined Immunodeficiency,ProblemsDim
Hepatitis C Chronic infection,ProblemsDim
Anthrax,ProblemsDim
"Diseases and disorders of the skin, subcutaneous tissue and breast / Diseases and disorders of the digestive system",ProblemsDim
Cerebral Ischemia Infarction,ProblemsDim
Hepatic System,ProblemsDim
Fungal Infection,ProblemsDim
Intracerebral Sarcoidosis,ProblemsDim
Sarcoidosis,ProblemsDim
Candidal Infection,ProblemsDim
Anorexic Damage,ProblemsDim
Coma,ProblemsDim
Raised Intraocular Pressure,ProblemsDim
Joint Pain,ProblemsDim
Metastatic Cancer,ProblemsDim
Secondary Malignancy/ Metastatic Cancer,ProblemsDim
Secondary Malignancy,ProblemsDim
Immunocompromised System,ProblemsDim
Lymphoid Malignancy/ Lymphoma,ProblemsDim
Immunological Disorders,ProblemsDim
Antineoplastics,PatientMedicationDim
Daunorubicin,PatientMedicationDim
Sulfonylureas,PatientMedicationDim
Actoplus Met,PatientMedicationDim
Kazano,PatientMedicationDim
Vibrio cholerae Detection,ResultsDim
factor IX Assay,ResultsDim
factor VII Assay,ResultsDim
Hepatitis B Antigen,ResultsDim
Platelets Size,ResultsDim
factor XI Assay,ResultsDim
ALAS3 Mutation Detection,ResultsDim
ALAS3 mutation test,ResultsDim
HEXA Gene Mutation,ResultsDim
HEXA Mutation Detection,ResultsDim
Hemoglobin  S,ResultsDim
